srvy,station,bt,date,vessel_name,notes
EBS,I-18,2.59,6/26/2025,Northwest Explorer,
EBS,J-18,2.31,6/26/2025,Northwest Explorer,
EBS,N-01,3.76,6/27/2025,Alaska Knight,
EBS,O-01,4.52,6/27/2025,Alaska Knight,
EBS,P-01,5.16,6/27/2025,Alaska Knight,
EBS,Q-02,5.87,6/27/2025,Alaska Knight,
EBS,K-18,2.06,6/27/2025,Northwest Explorer,
EBS,L-18,3.55,6/27/2025,Northwest Explorer,
EBS,M-18,3.22,6/27/2025,Northwest Explorer,
EBS,N-18,3.05,6/27/2025,Northwest Explorer,
EBS,Q-01,4.79,6/28/2025,Alaska Knight,
EBS,Q-18,2.27,6/28/2025,Alaska Knight,
EBS,Q-19,1.72,6/28/2025,Alaska Knight,
EBS,Q-20,0.55,6/28/2025,Alaska Knight,
EBS,O-18,3.02,6/28/2025,Northwest Explorer,
EBS,O-19,2.00,6/28/2025,Northwest Explorer,
EBS,P-18,2.65,6/28/2025,Northwest Explorer,
EBS,P-19,2.00,6/28/2025,Northwest Explorer,
EBS,M-20,0.54,6/29/2025,Alaska Knight,
EBS,N-20,0.62,6/29/2025,Alaska Knight,
EBS,O-20,1.63,6/29/2025,Alaska Knight,
EBS,P-20,1.24,6/29/2025,Alaska Knight,
EBS,K-19,1.13,6/29/2025,Northwest Explorer,
EBS,L-19,1.07,6/29/2025,Northwest Explorer,
EBS,M-19,2.73,6/29/2025,Northwest Explorer,
EBS,N-19,2.38,6/29/2025,Northwest Explorer,
EBS,J-20,0.44,6/30/2025,Alaska Knight,
EBS,K-20,0.67,6/30/2025,Alaska Knight,
EBS,L-20,0.56,6/30/2025,Alaska Knight,
EBS,H-19,3.41,6/30/2025,Northwest Explorer,
EBS,I-19,3.26,6/30/2025,Northwest Explorer,
EBS,J-19,1.96,6/30/2025,Northwest Explorer,
EBS,F-20,4.55,7/1/2025,Alaska Knight,
EBS,G-20,2.24,7/1/2025,Alaska Knight,
EBS,H-20,1.26,7/1/2025,Alaska Knight,
EBS,I-20,2.82,7/1/2025,Alaska Knight,
EBS,E-19,4.46,7/1/2025,Northwest Explorer,
EBS,E-20,4.32,7/1/2025,Northwest Explorer,
EBS,F-19,3.41,7/1/2025,Northwest Explorer,
EBS,G-19,3.44,7/1/2025,Northwest Explorer,
EBS,E-21,4.15,7/2/2025,Alaska Knight,
EBS,F-21,3.74,7/2/2025,Alaska Knight,
EBS,G-21,3.50,7/2/2025,Alaska Knight,
EBS,G-22,3.09,7/2/2025,Alaska Knight,
EBS,E-22,4.21,7/2/2025,Northwest Explorer,
EBS,F-22,3.67,7/2/2025,Northwest Explorer,
EBS,H-21,4.23,7/3/2025,Northwest Explorer,
EBS,I-21,0.61,7/3/2025,Northwest Explorer,
EBS,H-22,3.17,7/4/2025,Alaska Knight,
EBS,I-22,2.29,7/4/2025,Alaska Knight,
EBS,J-22,1.63,7/4/2025,Alaska Knight,
EBS,K-22,1.41,7/4/2025,Alaska Knight,
EBS,J-21,0.92,7/4/2025,Northwest Explorer,
EBS,K-21,0.42,7/4/2025,Northwest Explorer,
EBS,L-21,0.45,7/4/2025,Northwest Explorer,
EBS,M-21,0.44,7/4/2025,Northwest Explorer,
EBS,L-22,1.13,7/5/2025,Alaska Knight,
EBS,M-22,0.60,7/5/2025,Alaska Knight,
EBS,N-22,0.26,7/5/2025,Alaska Knight,
EBS,O-22,-0.05,7/5/2025,Alaska Knight,
EBS,N-21,0.31,7/5/2025,Northwest Explorer,
EBS,O-21,0.11,7/5/2025,Northwest Explorer,
EBS,P-21,0.02,7/5/2025,Northwest Explorer,
EBS,Q-21,-0.08,7/5/2025,Northwest Explorer,
EBS,L-23,1.67,7/6/2025,Alaska Knight,
EBS,M-23,1.40,7/6/2025,Alaska Knight,
EBS,N-23,0.78,7/6/2025,Alaska Knight,
EBS,O-23,0.32,7/6/2025,Alaska Knight,
EBS,P-22,-0.41,7/6/2025,Northwest Explorer,
EBS,Q-22,-0.56,7/6/2025,Northwest Explorer,
EBS,R-22,-1.03,7/6/2025,Northwest Explorer,
EBS,S-22,-1.08,7/6/2025,Northwest Explorer,
EBS,H-24,3.56,7/7/2025,Alaska Knight,
EBS,I-24,3.37,7/7/2025,Alaska Knight,
EBS,J-24,3.07,7/7/2025,Alaska Knight,
EBS,K-24,2.75,7/7/2025,Alaska Knight,
EBS,H-23,3.23,7/7/2025,Northwest Explorer,
EBS,I-23,3.27,7/7/2025,Northwest Explorer,
EBS,J-23,2.96,7/7/2025,Northwest Explorer,
EBS,K-23,2.17,7/7/2025,Northwest Explorer,
EBS,F-24,4.00,7/8/2025,Alaska Knight,
EBS,G-24,3.91,7/8/2025,Alaska Knight,
EBS,F-23,3.70,7/8/2025,Northwest Explorer,
EBS,G-23,3.42,7/8/2025,Northwest Explorer,
EBS,G-26,4.10,7/13/2025,Alaska Knight,
EBS,H-26,4.06,7/13/2025,Alaska Knight,
EBS,I-26,4.13,7/13/2025,Alaska Knight,
EBS,J-26,3.44,7/13/2025,Alaska Knight,
EBS,F-25,4.27,7/13/2025,Northwest Explorer,
EBS,G-25,4.12,7/13/2025,Northwest Explorer,
EBS,H-25,4.10,7/13/2025,Northwest Explorer,
EBS,K-26,3.83,7/14/2025,Alaska Knight,
EBS,L-26,3.73,7/14/2025,Alaska Knight,
EBS,M-26,2.74,7/14/2025,Alaska Knight,
EBS,N-26,2.34,7/14/2025,Alaska Knight,
EBS,I-25,3.69,7/14/2025,Northwest Explorer,
EBS,J-25,3.24,7/14/2025,Northwest Explorer,
EBS,K-25,3.19,7/14/2025,Northwest Explorer,
EBS,L-25,2.95,7/14/2025,Northwest Explorer,
EBS,L-24,2.71,7/15/2025,Northwest Explorer,
EBS,M-24,2.38,7/15/2025,Northwest Explorer,
EBS,M-25,2.69,7/16/2025,Alaska Knight,
EBS,N-25,2.18,7/16/2025,Alaska Knight,
EBS,O-25,1.67,7/16/2025,Alaska Knight,
EBS,P-25,0.09,7/16/2025,Alaska Knight,
EBS,N-24,1.77,7/16/2025,Northwest Explorer,
EBS,O-24,1.03,7/16/2025,Northwest Explorer,
EBS,P-23,-0.17,7/16/2025,Northwest Explorer,
EBS,P-24,-0.33,7/16/2025,Northwest Explorer,
EBS,O-26,2.12,7/17/2025,Alaska Knight,
EBS,P-26,1.61,7/17/2025,Alaska Knight,
EBS,Q-25,0.30,7/17/2025,Alaska Knight,
EBS,Q-26,0.85,7/17/2025,Alaska Knight,
EBS,Q-23,-0.96,7/17/2025,Northwest Explorer,
EBS,R-23,-1.13,7/17/2025,Northwest Explorer,
EBS,S-23,-1.23,7/17/2025,Northwest Explorer,
EBS,S-24,0.21,7/17/2025,Northwest Explorer,
EBS,N-27,2.68,7/18/2025,Alaska Knight,
EBS,N-28,2.98,7/18/2025,Alaska Knight,
EBS,O-27,2.23,7/18/2025,Alaska Knight,
EBS,O-28,2.76,7/18/2025,Alaska Knight,
EBS,R-24,1.70,7/18/2025,Northwest Explorer,
EBS,R-25,-0.25,7/18/2025,Northwest Explorer,
EBS,S-25,-0.35,7/18/2025,Northwest Explorer,
EBS,S-26,0.56,7/18/2025,Northwest Explorer,
EBS,P-27,1.95,7/19/2025,Northwest Explorer,
EBS,Q-27,1.65,7/19/2025,Northwest Explorer,
EBS,R-26,0.61,7/19/2025,Northwest Explorer,
EBS,R-27,1.12,7/19/2025,Northwest Explorer,
EBS,K-27,4.12,7/19/2025,Alaska Knight,
EBS,L-27,4.06,7/19/2025,Alaska Knight,
EBS,M-27,3.06,7/19/2025,Alaska Knight,
EBS,M-28,3.23,7/19/2025,Alaska Knight,
EBS,L-28,3.56,7/20/2025,Alaska Knight,
EBS,L-29,3.54,7/20/2025,Alaska Knight,
EBS,L-30,3.77,7/20/2025,Alaska Knight,
EBS,L-31,3.48,7/20/2025,Alaska Knight,
EBS,N-29,2.15,7/20/2025,Northwest Explorer,
EBS,O-29,2.44,7/20/2025,Northwest Explorer,
EBS,P-28,2.40,7/20/2025,Northwest Explorer,
EBS,P-29,2.76,7/20/2025,Northwest Explorer,
EBS,M-29,2.67,7/21/2025,Northwest Explorer,
EBS,M-30,,7/21/2025,Northwest Explorer,
EBS,N-30,,7/21/2025,Northwest Explorer,
EBS,O-30,,7/21/2025,Northwest Explorer,
